ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
94,simple,,Tã Quần Goodry Utrathin Siêu Mỏng PGUX18NM XL18 (18 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,126000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/3/2/32_pgux18nm.u2769.d20170517.t221009.211134.jpg,,,,,,,,,0
95,simple,,Tã Dán Goodry Size S32 (32 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,84000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/2/1/21-dgds32nm.u2409.d20170413.t100304.944059.jpg,,,,,,,,,0
96,simple,,Tã Vải Dorabe Bo Thời Trang MBKHIHONG Size M (3-16kg) - Khỉ Hồng,1,0,visible,,,,,,,1,,,,,,,,1,,,112000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/m/b/mbkhihong.u2566.d20170404.t153918.702119.jpg,,,,,,,,,0
97,simple,,Tã Vải Dorabe Ban Ngày Size M - Gà Mơ,1,0,visible,,,,,,,1,,,,,,,,1,,,130000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5697.d20170921.t151749.364514.jpg,,,,,,,,,0
98,simple,,Tã Vải Dorabe Ban Đêm LDJEAN Size L (12-24kg) - Jean,1,0,visible,,,,,,,1,,,,,,,,1,,,120000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/l/d/ldjean.u2566.d20170404.t151031.295716.jpg,,,,,,,,,0
99,simple,,Tã Vải Dorabe Ban Ngày Size M - Gà Ô,1,0,visible,,,,,,,1,,,,,,,,1,,,120000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5697.d20170921.t151939.399606.jpg,,,,,,,,,0
100,simple,,Tã Vải Dorabe Ban Ngày LNVOICAY Size L (12-24kg) - Voi Cây,1,0,visible,,,,,,,1,,,,,,,,1,,,120000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/l/n/lnvoicay.u2566.d20170404.t182802.893457.jpg,,,,,,,,,0
101,simple,,Tã Dán Goo.n Slim Gói Đại L32 (32 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,189000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/8f/19/56/1bb64ff5ab2fd8905b08a1f324c87ddc.jpg,,,,,,,,,0
102,simple,,Combo 3 Tã Quần Goo.n Friend Gói Cực Đại XL42 (42 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,579000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/99/01/ee/8366cccb0fd915b13740fbcff39a8333.jpg,,,,,,,,,0
103,simple,,Tã Quần Goo.n Friend Gói Cực Đại XXL34 (34 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,119000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/7d/62/b0/1e9c18264c8d5a328a624e566967b2f2.jpg,,,,,,,,,0
104,simple,,Tã Quần Goo.n Friend Gói Cực Đại L48 (48 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,199000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/c0/c5/69/15aaaaf94fc0c2297587c86c5dc9695b.jpg,,,,,,,,,0
105,simple,,Combo 3 Gói Tã Quần Goo.n Slim Gói Cực Đại L48 (48 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,879000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/fa/18/f6/1b6af68c79733bbebb93e8f91ad0dc53.jpg,,,,,,,,,0
106,simple,,Tã Quần Goo.n Friend Gói Đại M27 (27 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,99000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/1a/51/fe/1c984490875eca9e8a6841448d5b5bd2.jpg,,,,,,,,,0
107,simple,,Tã Dán Huggies Dry Gói Đại L38 (38 Miếng) - Bao Bì Mới,1,0,visible,,,,,,,1,,,,,,,,1,,,155000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/2/_/2.u5505.d20170825.t142632.679077.jpg,,,,,,,,,0
108,simple,,Tã Quần UniDry Gói Cực Đại L54 (54 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,218000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/e1/ae/62/90ca658951624d63500f8366c857b2ff.jpg,,,,,,,,,0
109,simple,,Combo 4 Tã Dán UniDry Super Gói Đại M42 (42 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,469000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/c/b/cb4_unidry%20m42_0.u2442.d20160803.t103634.818095.jpg,,,,,,,,,0
110,simple,,Bình Sữa Nhựa PP Cổ Rộng Simba S6286 210ml,1,0,visible,,,,,,,1,,,,,,,,1,,,95000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/s/6/s6286-3.u2442.d20161220.t103754.371049.jpg,,,,,,,,,0
