ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
73,simple,,Sữa Meiji Ezcube Infant Formula Dạng Viên (432g),1,0,visible,,,,,,,1,,,,,,,,1,,,338.000 ₫,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/0/_/0.u4939.d20171024.t100035.133667.jpg,,,,,,,,,0
76,simple,,Sữa Bột Abbott Similac Eye-Q2 (900g),1,0,visible,,,,,,,1,,,,,,,,1,,,338.000 ₫,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/7e/94/a8/747eb30c79ce0f8e6ec574822cff2b7a.jpg,,,,,,,,,0
77,simple,,Bộ 2 Bình Nhựa PP Philips Avent 125ml - 560.27,1,0,visible,,,,,,,1,,,,,,,,1,,,338.000 ₫,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/b/i/binh-sua-pp-125ml-doi-22496-1.u2409.d20160406.t164112.jpg,,,,,,,,,0
