ID	Type	SKU	Name	Published	Is featured?	Visibility in catalog	Short description	Description	Date sale price starts	Date sale price ends	Tax status	Tax class	In stock?	Stock	Backorders allowed?	Sold individually?	Weight (g)	Length (cm)	Width (cm)	Height (cm)	Allow customer reviews?	Purchase note	Sale price	Regular price	Categories	Tags	Shipping class	Images	Download limit	Download expiry days	Parent	Grouped products	Upsells	Cross-sells	External URL	Button text	Position	Meta: _wp_desired_post_slug	Meta: _customize_changeset_uuid
415	simple		Combo 4 Tã Dán UniDry Super Gói ??i M42 (42 Mi?ng)	1	0	visible					taxable		1		0	0					1			469000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/c/b/cb4_unidry%20m42_0.u2442.d20160803.t103634.818095.jpg									0		
416	simple		Tã Dán S? Sinh UniDry NB36 (36 Mi?ng)	1	0	visible					taxable		1		0	0					1			79000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/a9/66/f4/52c806600f088178e2a32a1be7795d4b.jpg									0		
417	simple		Combo 4 Tã Qu?n UniDry Gói C?c ??i XXL30 (30 Mi?ng / Gói)	1	0	visible					taxable		1		0	0					1			899000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/47/a7/bd/81fe5be8a289382c0c7be5b17d730564.jpg									0		
418	simple		Tã Qu?n UniDry Gói C?c ??i L54 (54 Mi?ng)	1	0	visible					taxable		1		0	0					1			218000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/e1/ae/62/90ca658951624d63500f8366c857b2ff.jpg									0		
419	simple		Tã Qu?n Goo.n Friend Gói ??i M27 (27 Mi?ng)	1	0	visible					taxable		1		0	0					1			99000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/1a/51/fe/1c984490875eca9e8a6841448d5b5bd2.jpg									0		
420	simple		Tã Qu?n JO Gói C?c ??i L36 (36 Mi?ng)	1	0	visible					taxable		1		0	0					1			195000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/a6/05/45/53e6bd0a8e91b86f39d6e3418ff53427.jpg									0		
421	simple		Mi?ng Lót JO Newborn 1 (56 Mi?ng)	1	0	visible					taxable		1		0	0					1			98000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/fe/1a/c0/e963de2a806bb3720ac036e3f837dde4.jpg									0		
422	simple		Tã Qu?n Jo XL56 (56 mi?ng)	1	0	visible					taxable		1		0	0					1			340000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/7a/af/e6/44b191118c2e0ade78917df04e7f36da.jpg									0		
423	simple		Tã Qu?n Jo XXL48 (48 mi?ng)	1	0	visible					taxable		1		0	0					1			340000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/3b/70/54/f01903a8ae096c9d204f76b84f8f22f6.jpg									0		
424	simple		Tã Dán S? Sinh Bông Hello B&B SS0510 (Giao M?u Ng?u Nhiên)	1	0	visible					taxable		1		0	0					1			85000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/83/5a/2d/90fd3a89f341c9c14f02fe1c5b29e09a.jpg									0		
425	simple		Tã Qu?n Babylove Nightpants XL38 - Gói 38 Mi?ng	1	0	visible					taxable		1		0	0					1			365000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5430.d20170916.t070916.934094.jpg									0		
426	simple		Tã Qu?n BabyLove Nano Plus (PlayPants) L54 - Gói 54 Mi?ng	1	0	visible					taxable		1		0	0					1			355000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/2b/4c/ff/262fa9a3cf198d6a0f2ebf9a67e1e831.jpg									0		
427	simple		Tã Dán Certainty L10 (Gói 10 Mi?ng)	1	0	visible					taxable		1		0	0					1			155000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/72/8c/af/8a3899040c81bcc74420185113a8ca54.jpg									0		
428	simple		Tã Dán Babylove Easytape L36 - Gói 36 Mi?ng	1	0	visible					taxable		1		0	0					1			220000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/28/9e/de/eb61c3ee5834dceca12174c92615e42a.jpg									0		
429	simple		Tã Qu?n BabyLove DayNightPants Plus L44 (Gói 44 Mi?ng)	1	0	visible					taxable		1		0	0					1			270000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/97/80/9e/f00757090884f50f65a9f6d96b31248b.jpg									0		
430	simple		Tã Qu?n BabyLove Premium Gold L52 (Gói 52 Mi?ng)	1	0	visible					taxable		1		0	0					1			419000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/s/0/s030001758.u4939.d20170901.t140803.581929.jpg									0		
431	simple		Tã Dán BabyLove Premium Gold S76 (Gói 76 Mi?ng)	1	0	visible					taxable		1		0	0					1			450000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/s/0/s030001762.u4939.d20170901.t140645.401664.jpg									0		
