ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
556,simple,,Tã Vải Dorabe Ban Ngày Size M - Gà Ô,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,130000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5697.d20170921.t151939.399606.jpg,,,,,,,,,0
557,simple,,Tã Vải Dorabe Ban Đêm LDJEAN Size L (12-24kg) - Jean,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,120000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/l/d/ldjean.u2566.d20170404.t151031.295716.jpg,,,,,,,,,0
558,simple,,Tã Vải Dorabe Ban Ngày MNJEAN Size M (3-16kg) - Jean,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,130000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/m/n/mnjean.u2566.d20170404.t175337.918473.jpg,,,,,,,,,0
559,simple,,Combo 3 Gói Tã Quần Huggies Dry Gói Cực Đại M74 (74 Miếng) - Bao Bì Mới,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,836000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/75/70/b8/c157159e88e563a290fc535d4beba6bf.jpg,,,,,,,,,0
560,simple,,Tã Quần Huggies Dry Gói Cực Đại L68 (68 Miếng) - Bao Bì Mới,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,279000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/22/fd/9e/37f0e2c2556d4ec5788756bb0e412395.jpg,,,,,,,,,0
561,simple,,Combo 3 Gói Tã Dán Huggies Dry Gói Cực Đại M76 (76 Miếng) - Bao Bì Mới,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,729000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/9f/ce/f6/4d28bc0c0540fb97667084d0a49e654e.jpg,,,,,,,,,0
562,simple,,Miếng Lót Sơ Sinh Huggies Dry Newborn 1 - 100 (100 Miếng) - Tặng Kèm 12 Miếng,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,119000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/57/c8/7c/49a58f742115789ff7e9b46534dd24b2.jpg,,,,,,,,,0
563,simple,,Tã Quần Goo.n Slim Gói Đại XL22 (22 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,169000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/4a/70/c1/49202ded03575488ae2e4ccd458118e7.jpg,,,,,,,,,0
564,simple,,Combo 4 Tã Quần UniDry Gói Cực Đại XL48 (48 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,795000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/de/ea/f9/61cb7d0a96c6ef7856d12746b458530e.jpg,,,,,,,,,0
565,simple,,Combo 4 Tã Dán UniDry Super Gói Đại M42 (42 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,469000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/c/b/cb4_unidry%20m42_0.u2442.d20160803.t103634.818095.jpg,,,,,,,,,0
566,simple,,Tã Dán Sơ Sinh UniDry NB36 (36 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,79000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/a9/66/f4/52c806600f088178e2a32a1be7795d4b.jpg,,,,,,,,,0
567,simple,,Tã Quần UniDry Gói Cực Đại L54 (54 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,218000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/e1/ae/62/90ca658951624d63500f8366c857b2ff.jpg,,,,,,,,,0
568,simple,,Miếng Lót Sơ Sinh Bobby Fresh Newborn 1 - 88 (88 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,98000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/bf/ec/ec/3baed2bd31ca0c224e3750fc47769f9b.jpg,,,,,,,,,0
569,simple,,Sữa Bột Meiji Infant Formula (800g),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,490000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u4939.d20171024.t101421.941627.jpg,,,,,,,,,0
570,simple,,Sữa Bột Meiji Growing Up Formula (800g),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,439000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u4939.d20171024.t104512.15481.jpg,,,,,,,,,0
571,simple,,Sữa Meiji Ezcube Infant Formula Dạng Viên (432g),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,338000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/0/_/0.u4939.d20171024.t100035.133667.jpg,,,,,,,,,0
572,simple,,Bột Dinh Dưỡng Sữa Chúc Ngủ Ngon Yến Mạch Táo Tây HiPP 250g - 3331,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,115000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/54/7b/63/8ca03731884c09daa747b22bf7749357.jpg,,,,,,,,,0
573,simple,,Bột Dinh Dưỡng Sữa Kiều Mạch HiPP 250g - 2917,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,115000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/08/6a/37/d719b6da52c1d0ae1132b08c11cb1bd1.jpg,,,,,,,,,0
574,simple,,Bột Dinh Dưỡng Sữa Đào Mơ HiPP 2983 (250g),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,115000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/36/cc/b1/7f608837e9a2558c57c3494204be968e.jpg,,,,,,,,,0
575,simple,,Sữa Công Thức HiPP 1 Combiotic Organic (350g),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,249000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/c9/aa/d7/7a09be57db0980a471841a0cd7682cfa.jpg,,,,,,,,,0
576,simple,,"Trà Cốm Hòa Tan Hoa Quả, Hoa Dâm Bụt Với Isomaltulose HiPP 3667 (200g)",1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,166000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/42/2e/9a/dcad240d268251411efb0fd454652783.jpg,,,,,,,,,0
577,simple,,"Trà Cốm Hòa Tan Hoa Quả, Bạc Hà Mellisen Với Isomaltulose HiPP 3668 (200g)",1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,166000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/96/59/2b/f1fbda4de8a1911367353abc09350834.jpg,,,,,,,,,0
578,simple,,Hũ Dinh Dưỡng Súp Thịt Bê Rau Tổng Hợp HiPP 7983 (190g),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,47000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/82/0d/1c/e344d13745fadf5993bba98a4b2b89c3.jpg,,,,,,,,,0
579,simple,,Sữa Bột Nestle NAN Optipro 4 (900g),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,349000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/10/15/6c/afbe6bc70f01fcd8f0c0d27263dadb5e.jpg,,,,,,,,,0
580,simple,,Sữa Bột Nestle NAN Optipro 2 (800g),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,396000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/c0/c1/f3/8039e7f7ff9f40d307ba87a6a135af9d.jpg,,,,,,,,,0
581,simple,,Sữa Bột Nestle NAN Optipro 3 (900g),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,399000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/f9/4c/f7/c3c015356459ba760daf73d9dce2517a.jpg,,,,,,,,,0
582,simple,,Sữa Bột Nestle NAN Optipro HA 2 (800g),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,527000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/62/ea/6c/26b20c4f1d25a28304c28a3159893dd7.jpg,,,,,,,,,0
583,simple,,Sữa Bột Nestle NAN Optipro HA 1 (400g),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,277000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/ea/67/29/b883ffeb5548921dbf144ef9e09ab836.jpg,,,,,,,,,0
584,simple,,Sữa Enfagrow A + 4 360° Brain DHA+ MFGM PRO Hương Vanilla (900g),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,459000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5429.d20170724.t110804.75242.jpg,,,,,,,,,0
585,simple,,Sữa Bột Mead Johnson Enfamama A+ Chocolate MAC906F (900g),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,469000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/14/dd/23/7813c5d8c5086752883c4d66f66fac68.jpg,,,,,,,,,0
586,simple,,Lốc 3 Hộp Sữa Enfamil A+4 360 Brain Plus Vanilla (180ml/Hộp),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,54000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/a2/d2/cf/56b41e6020736591f9e76dadd68848bc.jpg,,,,,,,,,0
