ID	Type	SKU	Name	Published	Is featured?	Visibility in catalog	Short description	Description	Date sale price starts	Date sale price ends	Tax status	Tax class	In stock?	Stock	Backorders allowed?	Sold individually?	Weight (g)	Length (cm)	Width (cm)	Height (cm)	Allow customer reviews?	Purchase note	Sale price	Regular price	Categories	Tags	Shipping class	Images	Download limit	Download expiry days	Parent	Grouped products	Upsells	Cross-sells	External URL	Button text	Position
108.8	simple		Tã V?i Dorabe Ban Ngày Size M - Gà M?	1	0	visible							1								1			130000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5697.d20170921.t151749.364514.jpg									0
110.4	simple		Tã V?i Dorabe Ban ?êm LDJEAN Size L (12-24kg) - Jean	1	0	visible							1								1			120000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/l/d/ldjean.u2566.d20170404.t151031.295716.jpg									0
112	simple		Tã V?i Dorabe Ban Ngày Size M - Gà Ô	1	0	visible							1								1			120000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5697.d20170921.t151939.399606.jpg									0
113.6	simple		Tã V?i Dorabe Ban Ngày LNVOICAY Size L (12-24kg) - Voi Cây	1	0	visible							1								1			120000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/l/n/lnvoicay.u2566.d20170404.t182802.893457.jpg									0
115.2	simple		Tã Dán Goo.n Slim Gói ??i L32 (32 Mi?ng)	1	0	visible							1								1			189000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/8f/19/56/1bb64ff5ab2fd8905b08a1f324c87ddc.jpg									0
116.8	simple		Combo 3 Tã Qu?n Goo.n Friend Gói C?c ??i XL42 (42 Mi?ng)	1	0	visible							1								1			579000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/99/01/ee/8366cccb0fd915b13740fbcff39a8333.jpg									0
118.4	simple		Tã Qu?n Goo.n Friend Gói C?c ??i XXL34 (34 Mi?ng)	1	0	visible							1								1			119000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/7d/62/b0/1e9c18264c8d5a328a624e566967b2f2.jpg									0
120	simple		Tã Qu?n Goo.n Friend Gói C?c ??i L48 (48 Mi?ng)	1	0	visible							1								1			199000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/c0/c5/69/15aaaaf94fc0c2297587c86c5dc9695b.jpg									0
121.6	simple		Combo 3 Gói Tã Qu?n Goo.n Slim Gói C?c ??i L48 (48 Mi?ng)	1	0	visible							1								1			879000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/fa/18/f6/1b6af68c79733bbebb93e8f91ad0dc53.jpg									0
123.2	simple		Tã Qu?n Goo.n Friend Gói ??i M27 (27 Mi?ng)	1	0	visible							1								1			99000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/1a/51/fe/1c984490875eca9e8a6841448d5b5bd2.jpg									0
124.8	simple		Tã Dán Huggies Dry Gói ??i L38 (38 Mi?ng) - Bao Bì M?i	1	0	visible							1								1			155000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/2/_/2.u5505.d20170825.t142632.679077.jpg									0
126.4	simple		Tã Qu?n UniDry Gói C?c ??i L54 (54 Mi?ng)	1	0	visible							1								1			218000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/e1/ae/62/90ca658951624d63500f8366c857b2ff.jpg									0
128	simple		Combo 4 Tã Dán UniDry Super Gói ??i M42 (42 Mi?ng)	1	0	visible							1								1			469000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/c/b/cb4_unidry%20m42_0.u2442.d20160803.t103634.818095.jpg									0
